□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,
계약일자 : 2024-07-02 ~ 2025-07-01,,,,,,,,,,,,,,,,,,,
실거래구분 : 아파트(매매),,,,,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,,,,
시도 : 서울특별시,,,,,,,,,,,,,,,,,,,
시군구 : 서초구,,,,,,,,,,,,,,,,,,,
읍면동 : 서초동,,,,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
45,서울특별시 서초구 서초동,1755,1755,0,래미안 리더스원,114.7,202505,31,"403,000",-,12,개인,개인,2020,서운로 62,-,직거래,-,-
46,서울특별시 서초구 서초동,1582-3,1582,3,서초센트럴IPARK,80.5154,202505,30,"168,500",-,15,개인,개인,2020,반포대로18길 36,-,중개거래,서울 강남구,-
47,서울특별시 서초구 서초동,1509-1,1509,1,서초한빛삼성,59.52,202505,30,"139,500",-,1,개인,개인,1999,서초대로40길 72,-,중개거래,"서울 강남구, 서울 서초구",-
48,서울특별시 서초구 서초동,1686-9,1686,9,서초교대e편한세상,84.68,202505,30,"285,000",-,11,개인,개인,2010,서초중앙로24길 33,-,중개거래,서울 서초구,-
49,서울특별시 서초구 서초동,1685,1685,0,삼풍아파트,79.47,202505,29,"317,000",-,5,개인,개인,1988,서초중앙로 200,-,중개거래,서울 서초구,-
50,서울특별시 서초구 서초동,1327-29,1327,29,서초파라곤,109.73,202505,29,"160,000",-,11,개인,개인,2005,서초대로74길 29,-,중개거래,서울 서초구,-
51,서울특별시 서초구 서초동,1487-145,1487,145,래미안서초3차,180.27,202505,28,"205,000",-,1,개인,개인,2005,명달로6길 24,-,중개거래,서울 서초구,-
52,서울특별시 서초구 서초동,1687,1687,0,유원서초,84.82,202505,27,"220,000",-,11,개인,개인,1993,서초중앙로24길 43,-,중개거래,서울 서초구,-
53,서울특별시 서초구 서초동,1315,1315,0,진흥아파트,131.04,202505,26,"357,500",-,9,개인,개인,1979,서초대로 385,-,중개거래,서울 서초구,-
54,서울특별시 서초구 서초동,1346,1346,0,현대아파트,84.34,202505,26,"208,000",-,5,개인,개인,1989,효령로72길 14,-,중개거래,"경기 수원시 장안구, 서울 서초구",-
55,서울특별시 서초구 서초동,1685-3,1685,3,아크로비스타,174.78,202505,24,"350,000",-,11,개인,개인,2004,서초중앙로 188,-,중개거래,서울 서초구,-
56,서울특별시 서초구 서초동,1509-1,1509,1,서초한빛삼성,59.52,202505,23,"148,000",-,18,개인,개인,1999,서초대로40길 72,-,중개거래,서울 서초구,-
57,서울특별시 서초구 서초동,1685-3,1685,3,아크로비스타,205.07,202505,22,"446,000",-,10,개인,개인,2004,서초중앙로 188,-,중개거래,서울 서초구,-
58,서울특별시 서초구 서초동,1582-3,1582,3,서초센트럴IPARK,80.5098,202505,21,"168,000",-,12,개인,개인,2020,반포대로18길 36,-,중개거래,서울 서초구,-
59,서울특별시 서초구 서초동,1420-18,1420,18,신원아침도시(1420),84.34,202505,20,"164,000",-,11,개인,개인,2005,남부순환로337가길 52,-,중개거래,"서울 강남구, 서울 서초구",-
60,서울특별시 서초구 서초동,1641-13,1641,13,아남,71.1,202505,20,"163,200",1,4,개인,개인,1989,사임당로23길 53,-,중개거래,서울 서초구,25.06.26
61,서울특별시 서초구 서초동,1311-10,1311,10,서초푸르지오써밋,84.93,202505,20,"345,000",-,15,개인,개인,2017,서운로 212,-,중개거래,서울 서초구,-
62,서울특별시 서초구 서초동,1344-13,1344,13,서초트라팰리스,116.3,202505,20,"240,000",-,7,개인,개인,2005,효령로72길 57,-,중개거래,서울 서초구,-
63,서울특별시 서초구 서초동,1454-29,1454,29,서초한신,115.3,202505,19,"193,000",-,1,개인,개인,2001,남부순환로323길 38-16,-,중개거래,서울 서초구,-
64,서울특별시 서초구 서초동,1454-29,1454,29,서초한신,84.99,202505,19,"173,000",101,1,개인,개인,2001,남부순환로323길 38-15,-,중개거래,서울 서초구,25.05.30
65,서울특별시 서초구 서초동,1582-3,1582,3,서초센트럴IPARK,80.5098,202505,17,"173,000",-,11,개인,개인,2020,반포대로18길 36,-,중개거래,서울 서초구,-
66,서울특별시 서초구 서초동,1685,1685,0,삼풍아파트,79.47,202505,17,"320,000",-,6,개인,개인,1988,서초중앙로 200,-,중개거래,서울 서초구,-
67,서울특별시 서초구 서초동,1332-13,1332,13,래미안서초에스티지,59.99,202505,16,"270,000",-,22,개인,개인,2016,서운로 107,20250521,중개거래,서울 서초구,-
68,서울특별시 서초구 서초동,1684,1684,0,서초4현대,84.99,202505,15,"217,000",-,3,개인,개인,2000,고무래로 94,-,중개거래,서울 서초구,-
69,서울특별시 서초구 서초동,1593-7,1593,7,서초이오빌,45.96,202505,15,"42,000",-,18,개인,개인,2003,효령로53길 45,-,중개거래,서울 서초구,-
70,서울특별시 서초구 서초동,1326-17,1326,17,우성아파트,59.93,202505,15,"195,000",-,8,개인,개인,1998,서초대로74길 30,-,중개거래,서울 서초구,-
71,서울특별시 서초구 서초동,1755,1755,0,래미안 리더스원,84.94,202505,14,"370,000",-,12,개인,개인,2020,서운로 62,-,중개거래,"서울 서초구, 서울 송파구",-
72,서울특별시 서초구 서초동,1467-3,1467,3,서초대우,186.05,202505,13,"182,000",-,3,개인,개인,2000,명달로 20,-,중개거래,서울 서초구,-
73,서울특별시 서초구 서초동,1641-1,1641,1,서초삼성래미안,121.66,202505,13,"234,000",-,6,개인,개인,2001,사임당로17길 116,-,중개거래,"서울 서대문구, 서울 서초구",-
74,서울특별시 서초구 서초동,1509-1,1509,1,서초한빛삼성,59.52,202505,12,"134,500",101,2,개인,개인,1999,서초대로40길 72,-,중개거래,서울 서초구,25.06.19
75,서울특별시 서초구 서초동,1446-11,1446,11,현대슈퍼빌,216.16,202505,12,"350,000",-,19,개인,개인,2003,서초중앙로 15,-,중개거래,"서울 강남구, 서울 서초구",-
76,서울특별시 서초구 서초동,1446-11,1446,11,현대슈퍼빌,185.02,202505,12,"280,000",-,19,개인,개인,2003,서초중앙로 15,-,중개거래,서울 영등포구,-
77,서울특별시 서초구 서초동,1509-1,1509,1,서초한빛삼성,59.52,202505,12,"134,500",-,2,개인,개인,1999,서초대로40길 72,20250515,중개거래,서울 서초구,-
78,서울특별시 서초구 서초동,1332-13,1332,13,래미안서초에스티지,101.55,202505,10,"330,000",103동,3,개인,개인,2016,서운로 107,-,중개거래,서울 서초구,25.06.09
79,서울특별시 서초구 서초동,1326-17,1326,17,우성아파트,57.26,202505,10,"168,000",-,23,개인,개인,1998,서초대로74길 30,-,중개거래,서울 서초구,-
80,서울특별시 서초구 서초동,1684,1684,0,서초4현대,105.75,202505,10,"238,000",-,18,개인,개인,2000,고무래로 94,-,중개거래,서울 서초구,-
81,서울특별시 서초구 서초동,1755,1755,0,래미안 리더스원,84.94,202505,9,"369,500",-,22,개인,개인,2020,서운로 62,-,중개거래,"서울 서초구, 서울 영등포구",-
82,서울특별시 서초구 서초동,1757,1757,0,서초그랑자이,59.98,202505,8,"295,000",-,20,개인,개인,2021,효령로 391,-,중개거래,서울 서초구,-
83,서울특별시 서초구 서초동,1641-13,1641,13,아남,84.38,202505,8,"185,000",-,3,개인,개인,1989,사임당로23길 53,-,중개거래,서울 서초구,-
84,서울특별시 서초구 서초동,1681-8,1681,8,서초롯데캐슬프레지던트,84.97,202505,7,"274,000",-,15,개인,개인,2014,서초중앙로24길 57,-,중개거래,서울 서초구,-
85,서울특별시 서초구 서초동,1346,1346,0,현대아파트,84.34,202505,7,"189,000",-,3,개인,개인,1989,효령로72길 14,-,중개거래,서울 서초구,-
86,서울특별시 서초구 서초동,1648-2,1648,2,서초현대,84.69,202505,7,"194,000",-,15,개인,개인,1999,사임당로19길 10,-,중개거래,서울 서초구,-
87,서울특별시 서초구 서초동,1684,1684,0,서초4현대,140.03,202505,5,"244,000",-,11,개인,개인,2000,고무래로 94,-,중개거래,서울 서초구,-
88,서울특별시 서초구 서초동,1681-8,1681,8,서초롯데캐슬프레지던트,84.97,202505,3,"265,000",-,14,개인,개인,2014,서초중앙로24길 57,-,중개거래,서울 서초구,-
89,서울특별시 서초구 서초동,1330,1330,0,서초동삼성쉐르빌2,35.22,202505,3,"30,900",-,10,개인,법인,2002,강남대로53길 11,-,중개거래,서울 서초구,25.05.29
90,서울특별시 서초구 서초동,1687,1687,0,유원서초,84.82,202505,3,"225,000",-,10,개인,개인,1993,서초중앙로24길 43,-,중개거래,서울 서초구,-
91,서울특별시 서초구 서초동,1582-3,1582,3,서초센트럴IPARK,80.5154,202505,2,"165,000",-,8,개인,개인,2020,반포대로18길 36,-,중개거래,"서울 동작구, 서울 서초구",-
92,서울특별시 서초구 서초동,1583-10,1583,10,서초아트자이,144.3141,202505,2,"245,000",103,13,개인,개인,2009,반포대로 58,-,중개거래,서울 서초구,25.06.09
93,서울특별시 서초구 서초동,1332-13,1332,13,래미안서초에스티지,59.99,202505,1,"270,000",-,22,개인,개인,2016,서운로 107,-,중개거래,서울 서초구,-
94,서울특별시 서초구 서초동,1312-3,1312,3,롯데캐슬클래식,120.18,202505,1,"315,000",-,6,개인,개인,2006,서운로 200,-,중개거래,서울 서초구,-
95,서울특별시 서초구 서초동,1492-5,1492,5,서초트레져,216.08,202504,30,"225,000",-,1,개인,개인,2005,명달로 79,-,중개거래,서울 강남구,25.05.16
96,서울특별시 서초구 서초동,1330,1330,0,서초동삼성쉐르빌2,35.22,202504,29,"34,000",-,13,개인,개인,2002,강남대로53길 11,-,중개거래,서울 서초구,-
97,서울특별시 서초구 서초동,1467-62,1467,62,서초5차e편한세상,158.24,202504,28,"238,000",501,10,개인,개인,2005,명달로4길 30,-,중개거래,서울 서초구,25.06.13
98,서울특별시 서초구 서초동,1514-6,1514,6,옥스포드빌라트,76.41,202504,25,"105,000",-,5,개인,개인,2003,명달로20길 25,-,중개거래,서울 서초구,-
99,서울특별시 서초구 서초동,1593-7,1593,7,서초이오빌,43.2,202504,24,"39,700",-,12,개인,개인,2003,효령로53길 45,-,중개거래,서울 서초구,25.06.12
100,서울특별시 서초구 서초동,1338-1,1338,1,풍림아이원플러스,35.903,202504,24,"37,000",-,8,개인,개인,2004,효령로77길 14,-,중개거래,서울 서초구,-
