시군구,번지,단지명,전용면적(㎡),계약년월,거래금액,층,건축년도,도로명,전용평,전용평당,공급평당,위도,경도
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,35.17948127,129.1785429
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,35.26111664,129.0933278
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,35.16913208,129.1015932
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,35.92008866,128.5478939
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,35.88152716,128.5943916
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,35.92017363,128.54927
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,35.85830343,128.6207263
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,35.85517159,128.5405186
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.46517491,126.629867
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.42351511,126.6456417
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.4510324,126.7327101
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.49311146,126.7410602
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.54455451,126.6703088
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,35.15087472,126.9386847
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,35.18683013,126.8931965
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,35.17296133,126.819833
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,35.21885809,126.8397146
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,36.33350587,127.4257412
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,36.3339674,127.4255641
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,36.32397735,127.4072401
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,35.5429097,129.4295301
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.23542687,127.0286795
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.27447502,126.974939
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.27114738,127.0364025
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.27647978,127.0432541
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.27232515,127.0366884
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.41330799,126.9166177
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.41321319,126.9154084
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,36.99148348,127.0797178
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.70281232,126.9025426
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.58804174,127.1444228
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.35434773,126.7340928
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.36917403,126.941839
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,37.23932079,127.1910308
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,36.9932983,127.1417828
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,36.66911538,127.4797561
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,36.66872558,127.4804633
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,36.6685542,127.4786187
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,36.6678514,127.4793616
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,36.74602343,126.4472137
인천광역시 중구 신생동,May-38,삼성,59.055,202506,23000,10,2001,인중로 111,17.86,1287.79,965.84,36.79413115,126.4608619
