시군구,번지,단지명,전용면적(㎡),계약년월,거래금액,층,건축년도,도로명,전용평,전용평당,공급평당,위도,경도
부산광역시 강서구 명지동,3354,명지1차 금강펜테리움 센트럴파크,61.2559,202507.0,37000.0,21.0,2015.0,명지국제5로 59,18.53,1996.76,1497.57,35.1007219205582,128.918669288385
부산광역시 강서구 명지동,3233,극동스타클래스,101.92,202507.0,38000.0,12.0,2008.0,명지오션시티2로 71,30.83,1232.57,924.43,35.0839533492813,128.899987733079
부산광역시 북구 화명동,2288,코오롱하늘채2차,84.935,202507.0,49000.0,11.0,2002.0,화명신도시로 100,25.69,1907.36,1430.52,35.2315659682026,129.012318725109
부산광역시 사상구 모라동,1380,사상구남역동원로얄듀크,84.9117,202507.0,37000.0,2.0,2019.0,백양대로934번길 94,25.69,1440.25,1080.19,35.1927334044852,128.994335321637
부산광역시 북구 화명동,2288,코오롱하늘채2차,59.808,202507.0,39400.0,24.0,2002.0,화명신도시로 100,18.09,2178.0,1633.5,35.2315659682026,129.012318725109
부산광역시 수영구 광안동,1330,쌍용예가디오션,84.9616,202507.0,92000.0,6.0,2014.0,광안로 20,25.7,3579.77,2684.83,35.1560597268621,129.114667093976
부산광역시 기장군 일광읍 삼성리,810,일광대성베르힐,84.5535,202507.0,42500.0,6.0,2020.0,해빛5로 14,25.58,1661.45,1246.09,35.2601632496375,129.220709688019
부산광역시 북구 만덕동,955,백양디이스트(1단지),84.9944,202507.0,30000.0,7.0,2015.0,덕천로276번길 60,25.71,1166.86,875.14,35.2058687951711,129.033190025409
부산광역시 동래구 온천동,1853,동래래미안아이파크,59.9865,202507.0,73800.0,14.0,2022.0,충렬대로107번길 65,18.15,4066.12,3049.59,35.2108185382833,129.071308200134
부산광역시 동래구 온천동,1850,동래3차SKVIEW,84.873,202507.0,55700.0,12.0,2021.0,온천장로65번길 9,25.67,2169.85,1627.39,35.2164407285619,129.07979446266
부산광역시 동래구 온천동,1838,동래효성해링턴플레이스,84.4701,202507.0,56900.0,20.0,2019.0,아시아드대로255번길 14,25.55,2227.01,1670.26,35.20753741,129.0680561
부산광역시 동래구 온천동,1838,동래효성해링턴플레이스,84.6112,202507.0,57900.0,9.0,2019.0,아시아드대로255번길 14,25.59,2262.6,1696.95,35.20753741,129.0680561
부산광역시 동래구 온천동,1833,동래삼정그린코아포레스트,84.8689,202507.0,48800.0,21.0,2018.0,쇠미로 153,25.67,1901.05,1425.79,35.2040856820899,129.060843563124
부산광역시 연제구 거제동,1503,거제유림노르웨이숲,84.9276,202507.0,41000.0,17.0,2007.0,거제대로136번길 30,25.69,1595.95,1196.96,35.1803529316818,129.070922905755
부산광역시 연제구 거제동,1481,거제1차현대홈타운,59.93,202507.0,41500.0,3.0,2001.0,법원북로 34,18.13,2289.02,1716.76,35.1924298960748,129.071121435861
