"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-06-01 ~ 2025-07-11"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"87","부산광역시 사하구 당리동","532","0532","0000","협진태양","44.2300","202507","08","8,500","-","2","개인","개인","1982","다대로 30","-","중개거래","부산 사하구","-"
"88","부산광역시 수영구 남천동","148-4","0148","0004","삼익비치","115.6000","202507","08","139,000","-","10","개인","개인","1981","광안해변로 100","-","중개거래","부산 수영구","-"
"89","부산광역시 부산진구 부전동","537-9","0537","0009","더샵센트럴스타","119.0880","202507","08","60,000","-","10","개인","개인","2011","중앙대로666번길 50","-","중개거래","부산 부산진구","-"
"90","부산광역시 수영구 남천동","44-18","0044","0018","뉴하이츠빌라","147.2400","202507","08","43,000","-","5","개인","개인","1998","수영로481번길 6","-","중개거래","부산 남구","25.07.08"
"91","부산광역시 연제구 거제동","1029-2","1029","0002","동원타워","84.9800","202507","08","36,000","-","3","개인","개인","1996","월드컵대로243번길 19","-","중개거래","부산 연제구","-"
"92","부산광역시 북구 금곡동","56-1","0056","0001","벽산삼협한솔","85.9950","202507","08","23,900","-","8","개인","개인","1995","효열로 265","-","중개거래","부산 북구","-"
"93","부산광역시 북구 만덕동","960","0960","0000","더 래디언트 금정산","59.9900","202507","08","32,600","-","22","개인","개인","2019","상학로 35","-","중개거래","부산 북구","-"
"94","부산광역시 서구 서대신동2가","570","0570","0000","대신푸르지오2차","84.9287","202507","08","60,000","-","18","개인","개인","2021","고운들로 181","-","중개거래","부산 동래구","-"
"95","부산광역시 서구 서대신동2가","570","0570","0000","대신푸르지오2차","84.9287","202507","08","60,000","-","18","개인","개인","2021","고운들로 181","20250708","중개거래","부산 동래구","-"
"96","부산광역시 사상구 주례동","1288","1288","0000","주례경동리인","67.7557","202507","08","30,300","-","24","개인","개인","2017","백양대로 526","-","중개거래","부산 사상구","-"
"97","부산광역시 부산진구 전포동","878-26","0878","0026","삼정코아","19.4400","202507","08","5,000","-","13","개인","개인","2004","동천로 134","-","직거래","-","-"
"98","부산광역시 부산진구 전포동","181-1","0181","0001","서면대우디오빌2","32.6000","202507","08","8,200","-","25","개인","개인","2005","전포대로 274","-","직거래","-","-"
"99","부산광역시 해운대구 반여동","1662","1662","0000","메가센텀한화꿈에그린","84.9793","202507","08","51,000","-","11","개인","개인","2008","반여로 67","-","중개거래","부산 해운대구","-"
"100","부산광역시 해운대구 반여동","1192-3","1192","0003","일동미라주","56.9704","202507","08","21,000","-","18","개인","개인","2001","삼어로 77","-","중개거래","부산 해운대구","-"
"101","부산광역시 동래구 명륜동","618-5","0618","0005","천일스카이원","48.8786","202507","08","24,000","-","18","개인","개인","2018","명륜로 151","-","중개거래","부산 동래구","-"
"102","부산광역시 수영구 민락동","784","0784","0000","테넌바움294","84.8081","202507","08","102,000","-","19","개인","법인","2023","광안해변로 323","-","직거래","-","-"
"103","부산광역시 남구 용호동","563-1","0563","0001","오륙도 뜨란채","59.9100","202507","08","16,900","-","5","개인","개인","2000","용호로269번길 29","-","중개거래","부산 남구","-"
"104","부산광역시 해운대구 재송동","1146-1","1146","0001","재송그린","50.3100","202507","08","16,000","-","3","개인","개인","1984","재반로118번길 71","-","직거래","-","-"
"105","부산광역시 동래구 낙민동","93-1","0093","0001","한신","59.9600","202507","08","29,500","-","16","개인","개인","1999","안남로 46","-","중개거래","부산 동래구","-"
"106","부산광역시 동구 범일동","1664","1664","0000","두산위브더제니스하버시티","59.8757","202507","08","48,500","-","44","개인","개인","2023","범일로 21","-","중개거래","부산 동구","-"
"107","부산광역시 북구 화명동","1130-9","1130","0009","화명동롯데캐슬멤버스","84.7835","202507","08","36,000","-","1","개인","개인","2007","금곡대로 240","-","중개거래","부산 북구","-"
"108","부산광역시 해운대구 우동","930-20","0930","0020","센텀마리나","84.1400","202507","08","30,500","-","6","개인","개인","1993","해운대로469번가길 91","-","중개거래","부산 수영구","-"
"109","부산광역시 북구 화명동","1170-1","1170","0001","대림타운","111.7400","202507","08","29,920","-","5","개인","개인","1999","금곡대로 268","-","중개거래","경기 용인시 수지구","-"
"110","부산광역시 금정구 구서동","1018-19","1018","0019","구서빌라1동","159.9790","202507","07","25,000","-","2","개인","개인","1991","두실로45번길 71","-","직거래","-","-"
"111","부산광역시 북구 만덕동","955","0955","0000","백양디이스트(1단지)","84.9944","202507","07","31,000","-","20","개인","개인","2015","덕천로276번길 60","-","중개거래","부산 북구","-"
"112","부산광역시 북구 만덕동","955","0955","0000","백양디이스트(1단지)","84.9913","202507","07","34,000","-","8","개인","개인","2015","덕천로276번길 60","-","중개거래","부산 북구","-"
